actual_jitter,baseline,tabtransformer,tabnet,LGBM_stacked,XGB_stacked
64.1953079192311,59.153343,52.382015,59.153343,66.38709485551459,62.175323
-1.6959597429125068,15.106898,30.855776,15.106898,11.175920193761494,13.690917
46.913668946832935,45.40524,39.063744,45.40524,51.168147531372014,46.334526
94.28947598846347,78.76139,56.73388,78.76139,75.56542838558458,76.16969
20.759806297513002,35.57585,49.614414,35.57585,32.1912435368387,34.18083
98.62134654730279,84.731,61.94333,84.731,85.61337293947454,82.245316
34.39089610673768,33.481953,32.20499,33.481953,28.832407264757222,33.893612
12.016245437484,25.388418,37.40891,25.388418,28.500076788748263,30.615963
45.79699849079634,26.536226,35.705612,26.536226,35.21314180914312,29.476402
27.902457025590124,52.383774,52.439445,52.383774,49.08476880382705,51.29117
40.748164495236075,47.23711,68.83169,47.23711,47.1997623694817,47.37672
48.416117052470895,39.080963,58.036488,39.080963,43.869417523819344,38.419582
7.458064461501717,42.144577,36.05783,42.144577,35.12361949272512,36.44533
47.01154301667736,69.5188,69.42478,69.5188,60.80707072810125,63.346134
71.29837383914047,57.241188,49.928165,57.241188,61.36708220684005,56.696125
86.00857901529717,62.047657,61.129406,62.047657,62.71845065707007,63.666035
78.82601183840863,51.247837,45.61113,51.247837,56.133896594151324,51.29117
98.71994821689542,84.569244,76.54208,84.569244,87.64764965285983,86.94382
62.36505277376223,53.6764,58.354362,53.6764,61.775851926826306,55.763363
39.465488623333805,57.320076,63.307217,57.320076,52.833017460034114,55.41492
21.960232775885565,26.551758,38.11931,26.551758,33.2077593996121,30.749647
47.32569312998632,45.325768,39.965775,45.325768,48.72131075401744,44.22773
48.14405651770824,51.85551,57.42664,51.85551,50.41776792104371,51.30194
26.683185465525963,22.394009,37.690968,22.394009,24.660542536465098,25.392712
40.38451942313179,53.576447,43.721973,53.576447,54.5748181639095,55.177654
66.63258846909432,43.23219,38.442947,43.23219,49.14645213428001,44.71708
-1.5237850610097774,15.106898,31.82779,15.106898,10.2524705725778,11.759846
47.78226057630753,56.843407,66.06829,56.843407,55.63070127325319,56.036766
32.233861812204275,49.42216,56.41666,49.42216,48.039319877342095,49.523045
10.951579832157268,25.08232,38.997276,25.08232,24.87846115042581,28.094187
67.39736147953585,54.249252,27.187096,54.249252,50.909639139366206,56.129036
38.385553397035245,41.298866,39.04989,41.298866,50.06070238822483,45.82378
